"No paidy transaction information.","No paidy transaction information."
"No authorize transaction find for capture","No authorize transaction find for capture"
"Cannot capture","Cannot capture"
"Refund Failed","Refund Failed"
"Not existing transaction type","Not existing transaction type"
"Not allowed transaction type: %s","Not allowed transaction type: %s"
"Authorization Only","Authorization Only"
"Authorization&Capture","Authorization&Capture"
"Paidy Payments","Paidy Payments"
"Enabled","Enabled"
"Title","Title"
"New order status","New order status"
"Payment Action","Payment Action"
"Paidy screen store name","Paidy screen store name"
"API Access Key","API Access Key"
"API Secret","API Secret"
"Test Mode","Test Mode"
"Completed order status","Completed order status"
