"No paidy transaction information.","Paidyでの取引に関する情報はありません"
"No authorize transaction find for capture","確定できる承認済み取引はありません"
"Cannot capture","確定できません"
"Refund Failed","返金に失敗しました"
"Not existing transaction type","存在しない取引形態です"
"Not allowed transaction type: %s","%sは許可されていない取引形態です"
"Authorization Only","承認のみ"
"Authorization&Capture","承認と確定"
"Paidy Payments","Paidyでの支払い"
"Enabled","有効"
"Title","タイトル"
"New order status","新規注文のステータス"
"Payment Action","支払いアクション"
"Paidy screen store name","Paidy上に表示されるストア名"
"API Access Key","APIアクセスキー"
"API Secret","APIシークレットキー"
"Test Mode","テストモード"
"Completed order status","完了した注文のステータス"
